Timestamp: 1683525958, Average of speed: 2150.667, Average of pressure: 0.068
Timestamp: 1683528594, Average of speed: 1948.667, Average of pressure: 0.063
Timestamp: 1683528595, Average of speed: 2054.000, Average of pressure: 0.070
Timestamp: 1683528596, Average of speed: 2156.333, Average of pressure: 0.076
Timestamp: 1683528597, Average of speed: 1946.000, Average of pressure: 0.060
Timestamp: 1683528598, Average of speed: 2140.000, Average of pressure: 0.069
Timestamp: 1683528599, Average of speed: 1982.333, Average of pressure: 0.062
Timestamp: 1683528600, Average of speed: 2208.667, Average of pressure: 0.068
Timestamp: 1683528601, Average of speed: 2087.667, Average of pressure: 0.069
Timestamp: 1683528602, Average of speed: 2121.667, Average of pressure: 0.068
Timestamp: 1683528603, Average of speed: 2182.667, Average of pressure: 0.087
Timestamp: 1683528604, Average of speed: 1897.333, Average of pressure: 0.073
Timestamp: 1683528605, Average of speed: 2098.333, Average of pressure: 0.065
Timestamp: 1683528606, Average of speed: 2172.000, Average of pressure: 0.075
Timestamp: 1683528607, Average of speed: 2031.000, Average of pressure: 0.066
Timestamp: 1683528608, Average of speed: 2084.333, Average of pressure: 0.072
Timestamp: 1683528609, Average of speed: 2044.333, Average of pressure: 0.061
Timestamp: 1683528610, Average of speed: 2132.000, Average of pressure: 0.067
Timestamp: 1683528611, Average of speed: 2047.333, Average of pressure: 0.068
Timestamp: 1683528612, Average of speed: 2052.333, Average of pressure: 0.069
Timestamp: 1683528613, Average of speed: 2202.000, Average of pressure: 0.087
Timestamp: 1683528614, Average of speed: 2359.667, Average of pressure: 0.070
Timestamp: 1683528615, Average of speed: 2060.333, Average of pressure: 0.066
Timestamp: 1683528616, Average of speed: 2081.333, Average of pressure: 0.081
Timestamp: 1683528617, Average of speed: 2023.667, Average of pressure: 0.067
Timestamp: 1683528618, Average of speed: 2083.333, Average of pressure: 0.071
Timestamp: 1683528619, Average of speed: 2051.333, Average of pressure: 0.066
Timestamp: 1683528620, Average of speed: 1901.667, Average of pressure: 0.065
Timestamp: 1683528621, Average of speed: 2256.333, Average of pressure: 0.083
Timestamp: 1683528622, Average of speed: 2078.000, Average of pressure: 0.069
Timestamp: 1683528623, Average of speed: 2073.000, Average of pressure: 0.074
Timestamp: 1683528624, Average of speed: 2073.000, Average of pressure: 0.074
Timestamp: 1683528625, Average of speed: 2237.333, Average of pressure: 0.062
Timestamp: 1683528626, Average of speed: 1944.000, Average of pressure: 0.089
Timestamp: 1683528627, Average of speed: 2019.667, Average of pressure: 0.090
Timestamp: 1683528628, Average of speed: 1949.000, Average of pressure: 0.064
Timestamp: 1683528629, Average of speed: 2043.667, Average of pressure: 0.072
Timestamp: 1683528630, Average of speed: 2124.667, Average of pressure: 0.058
Timestamp: 1683528631, Average of speed: 2138.000, Average of pressure: 0.089
Timestamp: 1683528632, Average of speed: 2037.667, Average of pressure: 0.085
Timestamp: 1683528633, Average of speed: 1991.000, Average of pressure: 0.062
Timestamp: 1683528634, Average of speed: 2079.000, Average of pressure: 0.076
Timestamp: 1683528635, Average of speed: 2079.000, Average of pressure: 0.076
Timestamp: 1683528636, Average of speed: 2190.000, Average of pressure: 0.069
Timestamp: 1683528637, Average of speed: 2009.000, Average of pressure: 0.086
Timestamp: 1683528638, Average of speed: 2101.333, Average of pressure: 0.058
Timestamp: 1683528639, Average of speed: 2065.667, Average of pressure: 0.075
Timestamp: 1683528640, Average of speed: 2113.333, Average of pressure: 0.067
Timestamp: 1683528641, Average of speed: 2144.333, Average of pressure: 0.087
Timestamp: 1683528642, Average of speed: 2181.333, Average of pressure: 0.074
Timestamp: 1683528643, Average of speed: 2120.000, Average of pressure: 0.079
Timestamp: 1683528644, Average of speed: 2195.667, Average of pressure: 0.070
Timestamp: 1683528645, Average of speed: 1954.667, Average of pressure: 0.086
Timestamp: 1683528646, Average of speed: 2034.333, Average of pressure: 0.071
Timestamp: 1683528647, Average of speed: 2143.333, Average of pressure: 0.090
Timestamp: 1683528648, Average of speed: 2086.000, Average of pressure: 0.075
Timestamp: 1683528649, Average of speed: 2183.333, Average of pressure: 0.083
Timestamp: 1683528650, Average of speed: 1906.667, Average of pressure: 0.078
Timestamp: 1683528651, Average of speed: 1856.667, Average of pressure: 0.083
Timestamp: 1683528652, Average of speed: 2101.667, Average of pressure: 0.076
Timestamp: 1683528653, Average of speed: 2297.000, Average of pressure: 0.068
Timestamp: 1683528654, Average of speed: 2041.667, Average of pressure: 0.062
Timestamp: 1683528655, Average of speed: 2055.667, Average of pressure: 0.059
Timestamp: 1683528656, Average of speed: 2014.667, Average of pressure: 0.079
Timestamp: 1683528657, Average of speed: 2076.667, Average of pressure: 0.080
Timestamp: 1683528658, Average of speed: 2157.333, Average of pressure: 0.085
Timestamp: 1683528659, Average of speed: 2185.667, Average of pressure: 0.065
Timestamp: 1683528660, Average of speed: 2204.667, Average of pressure: 0.083
Timestamp: 1683528661, Average of speed: 1928.667, Average of pressure: 0.084
Timestamp: 1683528662, Average of speed: 2040.333, Average of pressure: 0.071
Timestamp: 1683528663, Average of speed: 2162.667, Average of pressure: 0.074
Timestamp: 1683528664, Average of speed: 2344.333, Average of pressure: 0.094
Timestamp: 1683528665, Average of speed: 2100.000, Average of pressure: 0.093
Timestamp: 1683528666, Average of speed: 2174.667, Average of pressure: 0.086
Timestamp: 1683528667, Average of speed: 2120.667, Average of pressure: 0.059
Timestamp: 1683528668, Average of speed: 2171.333, Average of pressure: 0.059
Timestamp: 1683528669, Average of speed: 2037.667, Average of pressure: 0.069
Timestamp: 1683528670, Average of speed: 2109.333, Average of pressure: 0.087
Timestamp: 1683528671, Average of speed: 2121.000, Average of pressure: 0.067
Timestamp: 1683528672, Average of speed: 2231.333, Average of pressure: 0.097
Timestamp: 1683528673, Average of speed: 2231.333, Average of pressure: 0.097
Timestamp: 1683528674, Average of speed: 1973.333, Average of pressure: 0.061
Timestamp: 1683528675, Average of speed: 2029.333, Average of pressure: 0.052
Timestamp: 1683528676, Average of speed: 2148.000, Average of pressure: 0.082
Timestamp: 1683528677, Average of speed: 2086.667, Average of pressure: 0.079
Timestamp: 1683528678, Average of speed: 2012.000, Average of pressure: 0.089
Timestamp: 1683528679, Average of speed: 2015.667, Average of pressure: 0.086
Timestamp: 1683528680, Average of speed: 2190.667, Average of pressure: 0.075
Timestamp: 1683528681, Average of speed: 2051.667, Average of pressure: 0.064
Timestamp: 1683528682, Average of speed: 2066.667, Average of pressure: 0.082
Timestamp: 1683528683, Average of speed: 2173.000, Average of pressure: 0.091
Timestamp: 1683528684, Average of speed: 2297.000, Average of pressure: 0.071
Timestamp: 1683528685, Average of speed: 2172.000, Average of pressure: 0.081
Timestamp: 1683528686, Average of speed: 2170.333, Average of pressure: 0.078
Timestamp: 1683528687, Average of speed: 2214.333, Average of pressure: 0.076
Timestamp: 1683528688, Average of speed: 1974.667, Average of pressure: 0.058
Timestamp: 1683528689, Average of speed: 1931.333, Average of pressure: 0.069
Timestamp: 1683528690, Average of speed: 2128.000, Average of pressure: 0.079
Timestamp: 1683528691, Average of speed: 2149.000, Average of pressure: 0.071
Timestamp: 1683528692, Average of speed: 2126.000, Average of pressure: 0.085
Timestamp: 1683528693, Average of speed: 2216.667, Average of pressure: 0.087
Timestamp: 1683528694, Average of speed: 2128.667, Average of pressure: 0.076
Timestamp: 1683528695, Average of speed: 1889.000, Average of pressure: 0.079
Timestamp: 1683528696, Average of speed: 2023.333, Average of pressure: 0.095
Timestamp: 1683528697, Average of speed: 2225.000, Average of pressure: 0.084
Timestamp: 1683528698, Average of speed: 2188.000, Average of pressure: 0.087
Timestamp: 1683528699, Average of speed: 1953.667, Average of pressure: 0.087
Timestamp: 1683528700, Average of speed: 2009.333, Average of pressure: 0.078
Timestamp: 1683528701, Average of speed: 2272.667, Average of pressure: 0.088
Timestamp: 1683528702, Average of speed: 2272.667, Average of pressure: 0.088
Timestamp: 1683528703, Average of speed: 2181.667, Average of pressure: 0.070
Timestamp: 1683528704, Average of speed: 2046.333, Average of pressure: 0.063
Timestamp: 1683528705, Average of speed: 2286.000, Average of pressure: 0.089
Timestamp: 1683528706, Average of speed: 1946.333, Average of pressure: 0.073
Timestamp: 1683528707, Average of speed: 2248.333, Average of pressure: 0.091
Timestamp: 1683528708, Average of speed: 2032.000, Average of pressure: 0.080
Timestamp: 1683528709, Average of speed: 2025.000, Average of pressure: 0.081
Timestamp: 1683528710, Average of speed: 2025.000, Average of pressure: 0.081
Timestamp: 1683528711, Average of speed: 2174.333, Average of pressure: 0.075
Timestamp: 1683528712, Average of speed: 2064.333, Average of pressure: 0.086
Timestamp: 1683528713, Average of speed: 2083.667, Average of pressure: 0.097
Timestamp: 1683528714, Average of speed: 2125.000, Average of pressure: 0.080
Timestamp: 1683528715, Average of speed: 2190.667, Average of pressure: 0.066
Timestamp: 1683528716, Average of speed: 2139.000, Average of pressure: 0.080
Timestamp: 1683528717, Average of speed: 2139.000, Average of pressure: 0.080
Timestamp: 1683528718, Average of speed: 2023.000, Average of pressure: 0.073
Timestamp: 1683528719, Average of speed: 2165.333, Average of pressure: 0.072
Timestamp: 1683528720, Average of speed: 1961.000, Average of pressure: 0.058
Timestamp: 1683528721, Average of speed: 1961.000, Average of pressure: 0.058
Timestamp: 1683528722, Average of speed: 2135.667, Average of pressure: 0.082
Timestamp: 1683528723, Average of speed: 2062.667, Average of pressure: 0.066
Timestamp: 1683528724, Average of speed: 2126.667, Average of pressure: 0.069
Timestamp: 1683528725, Average of speed: 2013.000, Average of pressure: 0.075
Timestamp: 1683528726, Average of speed: 1963.333, Average of pressure: 0.068
Timestamp: 1683528727, Average of speed: 2188.000, Average of pressure: 0.083
Timestamp: 1683528728, Average of speed: 2008.333, Average of pressure: 0.084
Timestamp: 1683528729, Average of speed: 1967.000, Average of pressure: 0.069
Timestamp: 1683528730, Average of speed: 2140.333, Average of pressure: 0.093
Timestamp: 1683528731, Average of speed: 2102.333, Average of pressure: 0.071
Timestamp: 1683528732, Average of speed: 2146.667, Average of pressure: 0.086
Timestamp: 1683528733, Average of speed: 2144.667, Average of pressure: 0.075
Timestamp: 1683528734, Average of speed: 2065.000, Average of pressure: 0.084
Timestamp: 1683528735, Average of speed: 2175.667, Average of pressure: 0.059
Timestamp: 1683528736, Average of speed: 2001.000, Average of pressure: 0.061
Timestamp: 1683528737, Average of speed: 2107.667, Average of pressure: 0.073
Timestamp: 1683528738, Average of speed: 2020.667, Average of pressure: 0.072
Timestamp: 1683528739, Average of speed: 2204.333, Average of pressure: 0.084
Timestamp: 1683528740, Average of speed: 2289.667, Average of pressure: 0.067
Timestamp: 1683528741, Average of speed: 2289.667, Average of pressure: 0.067
Timestamp: 1683528742, Average of speed: 1970.667, Average of pressure: 0.083
Timestamp: 1683528743, Average of speed: 2016.333, Average of pressure: 0.072
Timestamp: 1683528744, Average of speed: 2148.667, Average of pressure: 0.067
Timestamp: 1683528745, Average of speed: 2010.333, Average of pressure: 0.072
Timestamp: 1683528746, Average of speed: 2319.667, Average of pressure: 0.080
Timestamp: 1683528747, Average of speed: 2144.667, Average of pressure: 0.069
Timestamp: 1683528748, Average of speed: 2176.333, Average of pressure: 0.073
Timestamp: 1683528749, Average of speed: 1983.333, Average of pressure: 0.078
Timestamp: 1683528750, Average of speed: 2154.667, Average of pressure: 0.073
Timestamp: 1683528751, Average of speed: 2110.667, Average of pressure: 0.078
Timestamp: 1683528752, Average of speed: 2029.667, Average of pressure: 0.080
Timestamp: 1683528753, Average of speed: 2102.000, Average of pressure: 0.060
Timestamp: 1683528754, Average of speed: 2049.667, Average of pressure: 0.088
Timestamp: 1683528755, Average of speed: 2145.000, Average of pressure: 0.065
Timestamp: 1683528756, Average of speed: 2201.000, Average of pressure: 0.095
Timestamp: 1683528757, Average of speed: 2128.667, Average of pressure: 0.075
Timestamp: 1683528758, Average of speed: 2084.333, Average of pressure: 0.084
Timestamp: 1683528759, Average of speed: 2017.000, Average of pressure: 0.090
Timestamp: 1683528760, Average of speed: 2140.667, Average of pressure: 0.072
Timestamp: 1683528761, Average of speed: 2169.333, Average of pressure: 0.068
Timestamp: 1683528762, Average of speed: 2242.000, Average of pressure: 0.087
Timestamp: 1683528763, Average of speed: 2153.333, Average of pressure: 0.078
Timestamp: 1683528764, Average of speed: 2000.333, Average of pressure: 0.083
Timestamp: 1683528765, Average of speed: 1979.333, Average of pressure: 0.063
Timestamp: 1683528766, Average of speed: 1995.667, Average of pressure: 0.082
Timestamp: 1683528767, Average of speed: 2167.000, Average of pressure: 0.065
Timestamp: 1683528768, Average of speed: 2027.667, Average of pressure: 0.077
Timestamp: 1683528769, Average of speed: 2063.333, Average of pressure: 0.083
Timestamp: 1683528770, Average of speed: 2216.667, Average of pressure: 0.075
Timestamp: 1683528771, Average of speed: 2129.333, Average of pressure: 0.064
Timestamp: 1683528772, Average of speed: 2127.000, Average of pressure: 0.080
Timestamp: 1683528773, Average of speed: 2118.000, Average of pressure: 0.058
Timestamp: 1683528774, Average of speed: 1940.000, Average of pressure: 0.058
Timestamp: 1683528775, Average of speed: 2064.333, Average of pressure: 0.090
Timestamp: 1683528776, Average of speed: 2099.000, Average of pressure: 0.071
Timestamp: 1683528777, Average of speed: 2046.000, Average of pressure: 0.072
Timestamp: 1683528778, Average of speed: 1969.667, Average of pressure: 0.060
Timestamp: 1683528779, Average of speed: 2194.000, Average of pressure: 0.081
Timestamp: 1683528780, Average of speed: 2023.667, Average of pressure: 0.079
Timestamp: 1683528781, Average of speed: 2236.000, Average of pressure: 0.054
Timestamp: 1683528782, Average of speed: 2152.333, Average of pressure: 0.063
Timestamp: 1683528783, Average of speed: 2108.000, Average of pressure: 0.069
Timestamp: 1683528784, Average of speed: 2205.333, Average of pressure: 0.093
Timestamp: 1683528785, Average of speed: 2008.667, Average of pressure: 0.056
Timestamp: 1683528786, Average of speed: 2073.667, Average of pressure: 0.077
Timestamp: 1683528787, Average of speed: 2109.667, Average of pressure: 0.068
Timestamp: 1683528788, Average of speed: 2163.667, Average of pressure: 0.074
Timestamp: 1683528789, Average of speed: 1939.000, Average of pressure: 0.071
Timestamp: 1683528790, Average of speed: 2138.333, Average of pressure: 0.071
Timestamp: 1683528791, Average of speed: 2138.333, Average of pressure: 0.071
Timestamp: 1683528792, Average of speed: 2138.333, Average of pressure: 0.071
Timestamp: 1683528793, Average of speed: 1916.000, Average of pressure: 0.062
Timestamp: 1683528794, Average of speed: 2004.333, Average of pressure: 0.081
Timestamp: 1683528795, Average of speed: 2178.000, Average of pressure: 0.066
Timestamp: 1683528796, Average of speed: 1912.333, Average of pressure: 0.070
Timestamp: 1683528797, Average of speed: 2228.333, Average of pressure: 0.097
Timestamp: 1683528798, Average of speed: 2038.333, Average of pressure: 0.064
Timestamp: 1683528799, Average of speed: 2067.667, Average of pressure: 0.084
Timestamp: 1683528800, Average of speed: 2124.667, Average of pressure: 0.068
Timestamp: 1683528801, Average of speed: 1988.333, Average of pressure: 0.075
Timestamp: 1683528802, Average of speed: 2151.000, Average of pressure: 0.060
Timestamp: 1683528803, Average of speed: 2263.333, Average of pressure: 0.076
Timestamp: 1683528804, Average of speed: 2100.333, Average of pressure: 0.075
Timestamp: 1683528805, Average of speed: 2108.333, Average of pressure: 0.089
Timestamp: 1683528806, Average of speed: 2115.667, Average of pressure: 0.067
Timestamp: 1683528807, Average of speed: 2110.333, Average of pressure: 0.090
Timestamp: 1683528808, Average of speed: 2122.000, Average of pressure: 0.069
Timestamp: 1683528809, Average of speed: 2034.333, Average of pressure: 0.078
Timestamp: 1683528810, Average of speed: 2136.667, Average of pressure: 0.072
Timestamp: 1683528811, Average of speed: 2136.667, Average of pressure: 0.072
Timestamp: 1683528812, Average of speed: 2275.667, Average of pressure: 0.079
Timestamp: 1683528813, Average of speed: 2113.000, Average of pressure: 0.076
Timestamp: 1683528814, Average of speed: 2247.000, Average of pressure: 0.093
Timestamp: 1683528815, Average of speed: 2286.000, Average of pressure: 0.091
Timestamp: 1683528816, Average of speed: 2041.667, Average of pressure: 0.082
Timestamp: 1683528817, Average of speed: 2134.667, Average of pressure: 0.072
Timestamp: 1683528818, Average of speed: 2076.667, Average of pressure: 0.078
Timestamp: 1683528819, Average of speed: 1895.000, Average of pressure: 0.065
Timestamp: 1683528820, Average of speed: 2178.000, Average of pressure: 0.086
Timestamp: 1683528821, Average of speed: 2096.333, Average of pressure: 0.084
Timestamp: 1683528822, Average of speed: 2085.667, Average of pressure: 0.064
Timestamp: 1683528823, Average of speed: 2180.333, Average of pressure: 0.065
Timestamp: 1683528824, Average of speed: 2190.333, Average of pressure: 0.054
Timestamp: 1683528825, Average of speed: 2155.000, Average of pressure: 0.076
Timestamp: 1683528826, Average of speed: 2155.000, Average of pressure: 0.076
Timestamp: 1683528827, Average of speed: 2065.667, Average of pressure: 0.081
Timestamp: 1683528828, Average of speed: 2154.333, Average of pressure: 0.062
Timestamp: 1683528829, Average of speed: 2083.000, Average of pressure: 0.076
Timestamp: 1683528830, Average of speed: 2240.000, Average of pressure: 0.074
Timestamp: 1683528831, Average of speed: 2169.667, Average of pressure: 0.066
Timestamp: 1683528832, Average of speed: 2160.333, Average of pressure: 0.062
Timestamp: 1683528833, Average of speed: 2132.000, Average of pressure: 0.058
Timestamp: 1683528834, Average of speed: 2040.000, Average of pressure: 0.073
Timestamp: 1683528835, Average of speed: 1896.333, Average of pressure: 0.065
Timestamp: 1683528836, Average of speed: 2178.000, Average of pressure: 0.080
Timestamp: 1683528837, Average of speed: 2096.667, Average of pressure: 0.077
Timestamp: 1683528838, Average of speed: 2192.333, Average of pressure: 0.082
Timestamp: 1683528839, Average of speed: 2160.333, Average of pressure: 0.077
Timestamp: 1683528840, Average of speed: 2123.000, Average of pressure: 0.063
Timestamp: 1683528841, Average of speed: 1962.667, Average of pressure: 0.069
Timestamp: 1683528842, Average of speed: 2122.000, Average of pressure: 0.082
Timestamp: 1683528843, Average of speed: 2089.667, Average of pressure: 0.067
Timestamp: 1683528844, Average of speed: 1935.000, Average of pressure: 0.078
Timestamp: 1683528845, Average of speed: 2096.333, Average of pressure: 0.072
Timestamp: 1683528846, Average of speed: 1962.000, Average of pressure: 0.069
Timestamp: 1683528847, Average of speed: 2234.667, Average of pressure: 0.079
Timestamp: 1683528848, Average of speed: 2047.667, Average of pressure: 0.095
Timestamp: 1683528849, Average of speed: 2039.667, Average of pressure: 0.079
Timestamp: 1683528850, Average of speed: 2066.667, Average of pressure: 0.064
Timestamp: 1683528851, Average of speed: 2108.667, Average of pressure: 0.082
Timestamp: 1683528852, Average of speed: 1999.000, Average of pressure: 0.087
Timestamp: 1683528853, Average of speed: 2060.667, Average of pressure: 0.075
Timestamp: 1683528854, Average of speed: 1989.333, Average of pressure: 0.089
Timestamp: 1683528855, Average of speed: 2084.667, Average of pressure: 0.094
Timestamp: 1683528856, Average of speed: 2124.333, Average of pressure: 0.069
Timestamp: 1683528857, Average of speed: 1987.000, Average of pressure: 0.088
Timestamp: 1683528858, Average of speed: 2255.333, Average of pressure: 0.069
Timestamp: 1683528859, Average of speed: 2028.333, Average of pressure: 0.075
Timestamp: 1683528860, Average of speed: 2164.667, Average of pressure: 0.063
Timestamp: 1683528861, Average of speed: 2070.333, Average of pressure: 0.084
Timestamp: 1683528862, Average of speed: 2224.667, Average of pressure: 0.080
Timestamp: 1683528863, Average of speed: 2113.000, Average of pressure: 0.086
Timestamp: 1683528864, Average of speed: 2314.000, Average of pressure: 0.073
Timestamp: 1683528865, Average of speed: 1963.333, Average of pressure: 0.091
Timestamp: 1683528866, Average of speed: 2096.333, Average of pressure: 0.057
Timestamp: 1683528867, Average of speed: 2215.667, Average of pressure: 0.060
Timestamp: 1683528868, Average of speed: 2109.667, Average of pressure: 0.073
Timestamp: 1683528869, Average of speed: 2149.000, Average of pressure: 0.083
Timestamp: 1683528870, Average of speed: 2281.000, Average of pressure: 0.078
Timestamp: 1683528871, Average of speed: 2266.333, Average of pressure: 0.076
Timestamp: 1683528872, Average of speed: 2082.667, Average of pressure: 0.081
Timestamp: 1683528873, Average of speed: 2238.667, Average of pressure: 0.076
Timestamp: 1683528874, Average of speed: 2113.000, Average of pressure: 0.079
Timestamp: 1683528875, Average of speed: 2037.333, Average of pressure: 0.069
Timestamp: 1683528876, Average of speed: 2136.000, Average of pressure: 0.054
Timestamp: 1683528877, Average of speed: 2136.000, Average of pressure: 0.054
Timestamp: 1683528878, Average of speed: 2026.000, Average of pressure: 0.089
Timestamp: 1683528879, Average of speed: 2135.333, Average of pressure: 0.085
Timestamp: 1683528880, Average of speed: 2028.000, Average of pressure: 0.069
Timestamp: 1683528881, Average of speed: 1966.000, Average of pressure: 0.086
Timestamp: 1683528882, Average of speed: 2146.333, Average of pressure: 0.077
Timestamp: 1683528883, Average of speed: 1996.667, Average of pressure: 0.068
Timestamp: 1683528884, Average of speed: 2009.667, Average of pressure: 0.082
Timestamp: 1683528885, Average of speed: 2166.000, Average of pressure: 0.062
Timestamp: 1683528886, Average of speed: 2209.000, Average of pressure: 0.076
Timestamp: 1683528887, Average of speed: 2209.000, Average of pressure: 0.076
Timestamp: 1683528888, Average of speed: 2025.667, Average of pressure: 0.076
Timestamp: 1683528889, Average of speed: 2086.000, Average of pressure: 0.068
Timestamp: 1683528890, Average of speed: 2257.000, Average of pressure: 0.078
Timestamp: 1683528891, Average of speed: 1871.333, Average of pressure: 0.071
Timestamp: 1683528892, Average of speed: 2128.000, Average of pressure: 0.078
Timestamp: 1683528893, Average of speed: 2074.000, Average of pressure: 0.058
Timestamp: 1683528894, Average of speed: 1945.000, Average of pressure: 0.087
Timestamp: 1683528895, Average of speed: 1976.667, Average of pressure: 0.084
Timestamp: 1683528896, Average of speed: 2028.667, Average of pressure: 0.069
Timestamp: 1683528897, Average of speed: 2100.333, Average of pressure: 0.068
Timestamp: 1683528898, Average of speed: 1960.000, Average of pressure: 0.067
Timestamp: 1683528899, Average of speed: 1955.667, Average of pressure: 0.090
Timestamp: 1683528900, Average of speed: 2032.000, Average of pressure: 0.082
Timestamp: 1683528901, Average of speed: 2182.667, Average of pressure: 0.072
Timestamp: 1683528902, Average of speed: 2206.667, Average of pressure: 0.079
Timestamp: 1683528903, Average of speed: 2137.000, Average of pressure: 0.092
Timestamp: 1683528904, Average of speed: 2293.333, Average of pressure: 0.072
Timestamp: 1683528905, Average of speed: 1875.667, Average of pressure: 0.094
Timestamp: 1683528906, Average of speed: 2070.333, Average of pressure: 0.067
Timestamp: 1683528907, Average of speed: 1991.333, Average of pressure: 0.066
Timestamp: 1683528908, Average of speed: 2083.333, Average of pressure: 0.056
Timestamp: 1683528909, Average of speed: 2034.000, Average of pressure: 0.068
Timestamp: 1683528910, Average of speed: 2099.000, Average of pressure: 0.080
Timestamp: 1683528911, Average of speed: 1965.667, Average of pressure: 0.056
Timestamp: 1683528912, Average of speed: 2134.000, Average of pressure: 0.081
Timestamp: 1683528913, Average of speed: 2087.000, Average of pressure: 0.068
Timestamp: 1683528914, Average of speed: 2082.333, Average of pressure: 0.058
Timestamp: 1683528915, Average of speed: 1905.333, Average of pressure: 0.088
Timestamp: 1683528916, Average of speed: 2104.333, Average of pressure: 0.057
Timestamp: 1683528917, Average of speed: 2188.000, Average of pressure: 0.093
Timestamp: 1683528918, Average of speed: 2180.333, Average of pressure: 0.088
Timestamp: 1683528919, Average of speed: 2103.667, Average of pressure: 0.086
Timestamp: 1683528920, Average of speed: 2018.333, Average of pressure: 0.079
Timestamp: 1683528921, Average of speed: 2122.667, Average of pressure: 0.065
Timestamp: 1683528922, Average of speed: 2100.333, Average of pressure: 0.068
Timestamp: 1683528923, Average of speed: 2049.000, Average of pressure: 0.060
Timestamp: 1683528924, Average of speed: 2048.667, Average of pressure: 0.060
Timestamp: 1683528925, Average of speed: 2045.000, Average of pressure: 0.058
Timestamp: 1683528926, Average of speed: 1975.667, Average of pressure: 0.090
Timestamp: 1683528927, Average of speed: 2026.000, Average of pressure: 0.062
Timestamp: 1683528928, Average of speed: 2131.000, Average of pressure: 0.074
Timestamp: 1683528929, Average of speed: 2033.333, Average of pressure: 0.075
Timestamp: 1683528930, Average of speed: 2078.667, Average of pressure: 0.066
Timestamp: 1683528931, Average of speed: 2048.333, Average of pressure: 0.065
Timestamp: 1683528932, Average of speed: 2048.333, Average of pressure: 0.065
Timestamp: 1683528933, Average of speed: 2120.333, Average of pressure: 0.068
Timestamp: 1683528934, Average of speed: 2221.667, Average of pressure: 0.086
Timestamp: 1683528935, Average of speed: 2110.333, Average of pressure: 0.073
Timestamp: 1683528936, Average of speed: 1951.333, Average of pressure: 0.059
Timestamp: 1683528937, Average of speed: 2089.667, Average of pressure: 0.064
Timestamp: 1683528938, Average of speed: 1998.000, Average of pressure: 0.078
Timestamp: 1683528939, Average of speed: 2155.667, Average of pressure: 0.089
Timestamp: 1683528940, Average of speed: 2157.667, Average of pressure: 0.076
Timestamp: 1683528941, Average of speed: 2193.667, Average of pressure: 0.072
Timestamp: 1683528942, Average of speed: 2071.667, Average of pressure: 0.076
Timestamp: 1683528943, Average of speed: 2072.000, Average of pressure: 0.058
Timestamp: 1683528944, Average of speed: 2145.333, Average of pressure: 0.065
Timestamp: 1683528945, Average of speed: 2020.333, Average of pressure: 0.088
Timestamp: 1683528946, Average of speed: 2178.000, Average of pressure: 0.068
Timestamp: 1683528947, Average of speed: 2090.667, Average of pressure: 0.065
Timestamp: 1683528948, Average of speed: 2098.000, Average of pressure: 0.065
Timestamp: 1683528949, Average of speed: 1914.667, Average of pressure: 0.086
Timestamp: 1683528950, Average of speed: 2136.333, Average of pressure: 0.073
Timestamp: 1683528951, Average of speed: 2141.000, Average of pressure: 0.082
Timestamp: 1683528952, Average of speed: 2239.333, Average of pressure: 0.086
Timestamp: 1683528953, Average of speed: 2177.667, Average of pressure: 0.064
Timestamp: 1683528954, Average of speed: 2065.667, Average of pressure: 0.084
Timestamp: 1683528955, Average of speed: 2094.667, Average of pressure: 0.082
Timestamp: 1683528956, Average of speed: 2245.667, Average of pressure: 0.086
Timestamp: 1683528957, Average of speed: 1911.000, Average of pressure: 0.082
Timestamp: 1683528958, Average of speed: 1911.000, Average of pressure: 0.082
Timestamp: 1683528959, Average of speed: 2057.333, Average of pressure: 0.080
Timestamp: 1683528960, Average of speed: 2018.333, Average of pressure: 0.082
Timestamp: 1683528961, Average of speed: 2004.000, Average of pressure: 0.068
Timestamp: 1683528962, Average of speed: 2229.000, Average of pressure: 0.073
Timestamp: 1683528963, Average of speed: 2208.000, Average of pressure: 0.060
Timestamp: 1683528964, Average of speed: 2131.000, Average of pressure: 0.060
Timestamp: 1683528965, Average of speed: 1961.333, Average of pressure: 0.068
Timestamp: 1683528966, Average of speed: 2020.667, Average of pressure: 0.082
Timestamp: 1683528967, Average of speed: 2173.667, Average of pressure: 0.060
Timestamp: 1683528968, Average of speed: 2054.333, Average of pressure: 0.086
Timestamp: 1683528969, Average of speed: 2169.333, Average of pressure: 0.078
Timestamp: 1683528970, Average of speed: 2184.667, Average of pressure: 0.072
Timestamp: 1683528971, Average of speed: 2213.000, Average of pressure: 0.073
Timestamp: 1683528972, Average of speed: 1850.000, Average of pressure: 0.075
Timestamp: 1683528973, Average of speed: 2164.000, Average of pressure: 0.054
Timestamp: 1683528974, Average of speed: 2046.667, Average of pressure: 0.062
Timestamp: 1683528975, Average of speed: 2065.667, Average of pressure: 0.065
Timestamp: 1683528976, Average of speed: 1964.667, Average of pressure: 0.073
Timestamp: 1683528977, Average of speed: 2104.667, Average of pressure: 0.079
Timestamp: 1683528978, Average of speed: 2141.667, Average of pressure: 0.091
Timestamp: 1683528979, Average of speed: 2084.667, Average of pressure: 0.071
Timestamp: 1683528980, Average of speed: 2157.000, Average of pressure: 0.094
